UserId:ItemId,Prediction
u0000039:i0060196,8.49003
u0000039:i0099077,8.13029
u0000039:i0102926,7.39094
u0000039:i0109830,9.10731
u0000039:i0113277,8.85233
u0000039:i0114924,7.37429
u0000039:i0116695,8.32881
u0000039:i0119217,8.57945
u0000039:i0139462,9
u0000039:i0146984,8
u0000039:i0230838,8.40762
u0000039:i0240890,10
u0000039:i0281358,8.2383
u0000039:i0376541,9.50029
u0000039:i0380389,6.03881
u0000039:i0405159,7.75447
u0000039:i0473360,7
u0000039:i0484740,8
u0000039:i0780536,6.17339
u0000039:i0907657,6.58286
u0000039:i1023111,9.10112
u0000039:i1126590,5.75067
u0000039:i1294226,7.47427
u0000039:i1306980,7.80191
u0000039:i1375666,9.08276
u0000039:i1392190,7.73437
u0000039:i1403981,4.50189
u0000039:i1498569,10
u0000039:i1595656,7.5
u0000039:i1606389,8.20632
u0000039:i1613750,6.41912
u0000039:i1638002,6.29893
u0000039:i1655441,7.75313
u0000039:i1659337,8.20456
u0000039:i1702439,6.34142
u0000039:i1714915,6.2918
u0000039:i1809398,8.3537
u0000039:i1850397,7.1947
u0000039:i1951265,7.59647
u0000039:i1972779,10
u0000039:i2034031,8.74329
u0000039:i2082197,8.71701
u0000039:i2084970,7.35926
u0000039:i2199571,7.77225
u0000039:i2309260,7.79176
u0000039:i2562232,7.6235
u0000039:i2582802,7.66839
u0000039:i2713180,8.85334
u0000039:i2872718,8.06938
u0000039:i3235888,9.00139
u0000039:i3729920,4.23756
u0000046:i0033467,7.36671
u0000046:i0041959,8.09666
u0000046:i0056663,9.72811
u0000046:i0100234,8.50124
u0000046:i0166924,8.5004
u0000046:i0233841,7.52598
u0000046:i0361862,6.50638
u0000046:i0499335,7.88712
u0000046:i1020072,8.7761
u0000046:i1100089,8.68526
u0000046:i1392190,7.91388
u0000046:i1791528,6.2478
u0000046:i2141941,7.94171
u0000046:i2326554,9.00139
u0000046:i2582802,7.66839
u0000046:i2788710,7.73215
u0000046:i2802154,8.5
u0000046:i3235888,9.00139
u0000046:i3263614,9
u0000046:i3374966,9.13461
u0000046:i3416744,7.97065
u0000046:i3612616,6.22254
u0000046:i3630276,7.67382
u0000046:i3715320,8.00075
u0000046:i4408178,8.03205
u0000060:i0418279,6.9316
u0000060:i0816692,8.16174
u0000060:i1055369,7.56814
u0000060:i1399103,7.25153
u0000060:i1418377,6.16138
u0000060:i2024469,6.58543
u0000060:i2872732,9.03317
u0000077:i0068646,8.57954
u0000077:i0073195,5.28222
u0000077:i0455407,7.74703
u0000077:i0479997,10
u0000077:i1229238,7.41162
u0000077:i1385956,10
u0000077:i1499658,7.26188
u0000077:i1600196,7.71945
u0000077:i1661820,7.46269
u0000077:i2084970,7.35926
u0000077:i2096673,7.51437
u0000077:i2245084,8.46001
u0000077:i2267998,8.44577
u0000077:i2310332,6.47333
u0000077:i2395427,7.56841
u0000077:i2515034,7.6249
u0000077:i2609222,8
u0000077:i2692904,8.08954
u0000077:i2802144,8
u0000077:i2911666,7.97016
u0000077:i3045616,7.68396
u0000077:i3416742,5.75134
u0000083:i0073486,8.98037
u0000083:i0086250,8.39923
u0000083:i0102926,7.39094
u0000083:i0105695,6.98852
u0000083:i0109830,9.10731
u0000083:i0110413,8.77638
u0000083:i0110912,8.62474
u0000083:i0114369,8.81202
u0000083:i0114814,8.85975
u0000083:i0119174,7
u0000083:i0119488,7.49012
u0000083:i0120586,8.76272
u0000083:i0120735,7.97822
u0000083:i0120815,9.09154
u0000083:i0137523,9.02907
